Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
Arsenal,11.8,18.6,19.4,9.2,2.3,7.08
Leicester,13.6,22.9,21.6,10.7,1.3,7.06
Tottenham,11.1,21.1,17,11.9,1.9,7.01
Manchester City,8.9,19.2,16.6,10.8,1.7,7.01
West Ham,13.7,18.7,17.5,10.1,2.2,6.92
Southampton,12.2,18.8,18.6,11,2.6,6.91
Liverpool,10.5,22.9,14.5,11.1,2.4,6.91
Everton,14.6,19.2,13.4,8.3,1.4,6.88
Chelsea,12.7,20.8,13.6,10.6,2.4,6.87
Manchester United,10.8,20,15.6,12.4,2,6.83
Watford,13.2,20.9,20.2,12.1,1.4,6.80
Sunderland,15,20.2,14.9,10.6,2.3,6.76
Crystal Palace,14.9,17.1,18.4,12.4,2.1,6.76
Swansea,13.7,16.8,17.9,10.3,2.2,6.75
Stoke,14.1,18.7,15.2,11,2.7,6.74
Newcastle United,14.5,20.8,16.9,11,1.6,6.73
West Bromwich Albion,14.4,16.9,19,10.3,1.8,6.72
Bournemouth,11.6,18.6,16.8,9.5,1.7,6.71
Aston Villa,13.2,19.2,20.2,11.3,1.1,6.69
Norwich,12.9,16,12.4,11,2.4,6.61
