Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
Chelsea,85,15.3,720,54,83.9,14.2,7.05
Tottenham,86,17.6,620,57.4,82.5,15,7.04
Manchester City,80,16.7,714,60.9,85.5,15.4,7.01
Arsenal,77,14.9,683,56.5,83.8,16.7,6.99
Manchester United,54,15.6,782,55,84.2,16.4,6.99
Liverpool,78,16.8,540,58.3,82.4,17.3,6.98
Everton,62,13.2,722,51.5,79,17.5,6.91
Southampton,41,14.5,592,53.1,80.5,17.1,6.76
West Ham,47,13.1,785,48.4,78.2,19.1,6.76
Stoke,41,11.2,702,47.2,75.3,21.3,6.76
Crystal Palace,50,11.6,770,46.7,73.4,22,6.76
Middlesbrough,27,9.2,771,47.9,77.3,20.3,6.74
Bournemouth,55,11.9,523,51.3,81.3,14.4,6.74
Burnley,39,10.3,652,42.7,67.8,24,6.72
Leicester,48,11.4,721,43.7,70.1,20.2,6.71
West Bromwich Albion,43,10.5,800,40.7,70.4,17.7,6.69
Swansea,45,10.7,560,48.3,78.9,17.8,6.68
Watford,40,11.1,845,47,74,19.1,6.65
Sunderland,29,10.2,784,42.8,72.6,16.2,6.62
Hull,37,10.4,675,46.7,77.4,15.5,6.6
