Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating,,
Chelsea,15.3,5.4,13.3,12.3,7.05,,
Tottenham,17.6,6.8,11.9,12,7.04,,
Manchester City,16.7,5.7,13.2,11.2,7.01,,
Arsenal,14.9,5.3,12.1,10.2,6.99,,
Manchester United,15.6,5.5,10.6,11.6,6.99,,
Liverpool,16.8,6.2,10.9,9.9,6.98,,
Everton,13.2,5,10.6,10.8,6.91,,
Southampton,14.5,4.7,8.4,10.9,6.76,,
West Ham,13.1,3.6,10.7,12,6.76,,
Stoke,11.2,3.6,9.6,11.4,6.76,,
Crystal Palace,11.6,3.6,10.3,12.2,6.76,,
Middlesbrough,9.2,2.6,10.5,10.3,6.74,,
Bournemouth,11.9,4.2,11.3,12.6,6.74,,
Burnley,10.3,3.2,4.7,10.7,6.72,,
Leicester,11.4,3.8,8,8.6,6.71,,
West Bromwich Albion,10.5,3.2,8.1,8.9,6.69,,
Swansea,10.7,3.8,8.3,11,6.68,,
Watford,11.1,3.8,8.9,10.7,6.65,,
Sunderland,10.2,3.1,8.4,10.2,6.62,,
Hull,10.4,3.3,6.9,10,6.6,,
