Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
Manchester City,20.5,7.8,11.2,9.1,7.2
Chelsea,18.1,5.9,8.7,11.3,7
Liverpool,14.9,5.7,8.8,8.5,6.97
Tottenham,12.6,4.9,8.1,10.5,6.87
Arsenal,12.1,5.1,6.8,11.9,6.84
Everton,13.3,4.5,8.5,13,6.8
Wolverhampton Wanderers,14.5,4.8,8.7,8.9,6.77
Bournemouth,12.7,4.6,6.4,12,6.77
Watford,12.5,4.4,6,11.6,6.76
Leicester,12.9,4.8,8.9,10.2,6.75
West Ham,11.7,4.1,9.2,11.7,6.69
Newcastle United,10.5,3.3,5.8,10.3,6.66
Manchester United,13.1,6,6.8,11.2,6.66
Crystal Palace,11.2,3.8,9.2,10.9,6.65
Brighton,7.8,2.7,6.6,8.8,6.64
Southampton,14.5,4.5,6.4,10.5,6.63
Cardiff,11.8,3.2,5.7,10.9,6.59
Burnley,8.1,2.5,3.9,10.3,6.58
Huddersfield,10.7,3.1,5.5,9.8,6.49
Fulham,12.3,3.8,7,9.9,6.47
