"","Div","Date","AwayTeam","FTAG","FTR","HTAG","HTR","Referee","AS","AST","AF","AC","AY","AR","Passacu2","Aerialsuccess2","possession2","Tackle2"
"1","E0","9/9/2017","Bournemouth",0,"H",0,"H","A Taylor",6,1,8,2,1,0,72,50,42,11
"2","E0","1/10/2017","Brighton",0,"H",0,"H","K Friend",9,1,8,5,2,0,74,30,35,10
"3","E0","6/5/2018","Burnley",0,"H",0,"H","A Marriner",6,2,7,5,1,0,79,59,36,11
"4","E0","3/1/2018","Chelsea",2,"D",0,"D","A Taylor",19,6,11,8,2,0,82,52,42,18
"5","E0","20/01/18","Crystal Palace",1,"H",0,"H","C Kavanagh",9,5,8,10,0,0,82,50,37,15
"6","E0","3/2/2018","Everton",1,"H",0,"H","N Swarbrick",11,2,8,6,0,0,80,54,42,11
"7","E0","29/11/17","Huddersfield",0,"H",0,"H","G Scott",7,2,12,2,1,0,76,55,30,13
"8","E0","11/8/2017","Leicester",3,"H",2,"D","M Dean",6,3,12,4,1,0,63,50,30,17
"9","E0","22/12/17","Liverpool",3,"D",1,"A","M Atkinson",14,9,11,8,0,0,77,56,46,21
"10","E0","1/3/2018","Man City",3,"A",3,"A","A Marriner",9,5,11,1,1,0,85,60,54,11
"11","E0","2/12/2017","Man United",3,"A",2,"A","A Marriner",8,4,10,1,2,1,65,68,25,15
"12","E0","16/12/17","Newcastle",0,"H",0,"H","S Attwell",10,2,9,5,1,0,66,59,29,21
"13","E0","8/4/2018","Southampton",2,"H",1,"H","A Marriner",15,8,7,6,1,1,71,50,35,12
"14","E0","1/4/2018","Stoke",0,"H",0,"D","C Pawson",8,2,13,5,2,0,64,53,30,11
"15","E0","28/10/17","Swansea",1,"H",1,"A","L Mason",4,2,9,2,0,0,72,32,27,14
"16","E0","18/11/17","Tottenham",0,"H",0,"H","M Dean",14,4,16,4,1,0,79,56,58,12
"17","E0","11/3/2018","Watford",0,"H",0,"H","M Atkinson",11,4,9,9,1,0,75,44,40,13
"18","E0","25/09/17","West Brom",0,"H",0,"H","R Madley",7,3,17,4,4,0,68,47,31,16
"19","E0","22/04/18","West Ham",1,"H",0,"D","L Mason",11,4,9,6,2,0,67,55,32,10
"20","E0","14/01/18","Arsenal",1,"H",0,"D","K Friend",12,3,10,5,2,0,74,54,60,21
"21","E0","15/09/17","Brighton",1,"H",0,"D","C Pawson",9,2,12,4,0,0,73,42,37,19
"22","E0","29/11/17","Burnley",2,"A",1,"A","R East",10,4,11,6,1,0,71,40,38,22
"23","E0","28/10/17","Chelsea",1,"A",0,"D","C Pawson",18,5,5,5,0,0,87,56,58,16
"24","E0","7/4/2018","Crystal Palace",2,"D",0,"D","J Moss",13,6,9,3,2,0,80,47,47,15
"25","E0","30/12/17","Everton",1,"H",0,"H","L Probert",6,1,13,4,0,0,74,46,53,14
"26","E0","18/11/17","Huddersfield",0,"H",0,"H","L Probert",20,3,10,11,2,0,82,35,69,19
"27","E0","30/09/17","Leicester",0,"D",0,"D","G Scott",8,1,10,5,0,0,63,53,39,19
"28","E0","17/12/17","Liverpool",4,"A",3,"A","A Marriner",21,7,10,3,1,0,88,47,56,12
"29","E0","26/08/17","Man City",2,"A",1,"D","M Dean",19,8,14,5,4,1,87,64,70,13
"30","E0","18/04/18","Man United",2,"A",1,"A","G Scott",13,4,8,5,1,0,85,56,56,19
"31","E0","24/02/18","Newcastle",2,"D",2,"A","R East",15,4,10,1,4,0,68,56,37,21
"32","E0","3/12/2017","Southampton",1,"D",0,"H","J Moss",15,4,12,4,1,0,81,64,52,13
"33","E0","3/2/2018","Stoke",1,"H",1,"A","P Tierney",13,4,19,1,3,0,66,57,43,28
"34","E0","5/5/2018","Swansea",0,"H",0,"H","K Friend",12,3,10,6,4,0,72,42,55,23
"35","E0","11/3/2018","Tottenham",4,"A",1,"D","M Dean",12,8,7,5,1,0,83,52,63,22
"36","E0","19/08/17","Watford",2,"A",0,"D","R East",19,7,14,5,3,0,78,52,44,20
"37","E0","17/03/18","West Brom",1,"H",0,"D","G Scott",11,6,9,2,2,0,70,51,39,21
"38","E0","26/12/17","West Ham",3,"D",1,"D","S Attwell",10,5,14,4,4,0,70,41,43,22
"39","E0","4/3/2018","Arsenal",1,"H",1,"H","S Attwell",15,7,12,11,3,0,84,54,68,10
"40","E0","1/1/2018","Bournemouth",2,"D",1,"D","M Oliver",26,8,9,12,1,0,82,39,51,6
"41","E0","16/12/17","Burnley",0,"D",0,"D","C Kavanagh",11,6,13,2,2,0,67,53,42,12
"42","E0","20/01/18","Chelsea",4,"A",2,"A","J Moss",14,10,5,3,0,0,72,53,47,9
"43","E0","28/11/17","Crystal Palace",0,"D",0,"D","A Marriner",10,4,8,5,0,0,79,49,53,20
"44","E0","15/10/17","Everton",1,"D",0,"D","M Oliver",13,6,10,1,1,0,78,49,59,16
"45","E0","7/4/2018","Huddersfield",1,"D",1,"D","A Taylor",14,5,7,3,0,0,76,58,54,14
"46","E0","31/03/18","Leicester",2,"A",0,"D","C Kavanagh",6,4,13,1,4,1,85,45,57,17
"47","E0","2/12/2017","Liverpool",5,"A",2,"A","G Scott",12,6,7,2,0,0,40,50,78,10
"48","E0","12/8/2017","Man City",2,"A",0,"D","M Oliver",14,4,9,10,2,0,89,50,68,8
"49","E0","4/5/2018","Man United",0,"H",0,"D","C Pawson",16,3,3,6,0,0,79,36,48,16
"50","E0","24/09/17","Newcastle",0,"H",0,"D","A Marriner",17,5,8,8,1,0,80,71,46,10
"51","E0","29/10/17","Southampton",1,"D",1,"A","N Swarbrick",6,1,10,7,1,0,77,36,52,20
