"","Div","Date","HomeTeam","FTHG","FTR","HTHG","HTR","Referee","HS","HST","HF","HC","HY","HR","Passacc1","Aerialsuccess1","possession1","Tackle1"
"1","E0","9/9/2017","Arsenal",3,"H",2,"H","A Taylor",15,8,14,8,0,0,80,50,58,16
"2","E0","1/10/2017","Arsenal",2,"H",1,"H","K Friend",25,12,7,6,0,0,88,70,65,15
"3","E0","6/5/2018","Arsenal",5,"H",2,"H","A Marriner",16,8,6,4,0,0,89,41,64,12
"4","E0","3/1/2018","Arsenal",2,"D",0,"D","A Taylor",14,6,11,10,3,0,86,48,58,16
"5","E0","20/01/18","Arsenal",4,"H",4,"H","C Kavanagh",16,10,6,5,0,0,88,50,63,19
"6","E0","3/2/2018","Arsenal",5,"H",4,"H","N Swarbrick",15,7,8,4,2,0,85,46,58,22
"7","E0","29/11/17","Arsenal",5,"H",1,"H","G Scott",21,7,10,7,0,0,88,45,70,19
"8","E0","11/8/2017","Arsenal",4,"H",2,"D","M Dean",27,10,9,9,0,0,85,50,70,23
"9","E0","22/12/17","Arsenal",3,"D",0,"A","M Atkinson",11,4,9,7,1,0,75,44,54,18
"10","E0","1/3/2018","Arsenal",0,"A",0,"A","A Marriner",10,5,11,6,1,0,78,40,46,24
"11","E0","2/12/2017","Arsenal",1,"A",0,"A","A Marriner",33,15,11,12,3,0,86,32,75,18
"12","E0","16/12/17","Arsenal",1,"H",1,"H","S Attwell",23,5,13,7,2,0,85,41,71,17
"13","E0","8/4/2018","Arsenal",3,"H",2,"H","A Marriner",13,7,11,8,2,1,85,50,65,11
"14","E0","1/4/2018","Arsenal",3,"H",0,"D","C Pawson",24,11,9,6,1,0,85,47,70,16
"15","E0","28/10/17","Arsenal",2,"H",0,"A","L Mason",17,5,9,5,0,0,87,68,73,16
"16","E0","18/11/17","Arsenal",2,"H",2,"H","M Dean",14,5,11,7,4,0,69,44,42,18
"17","E0","11/3/2018","Arsenal",3,"H",1,"H","M Atkinson",11,7,12,4,2,0,83,56,60,21
"18","E0","25/09/17","Arsenal",2,"H",1,"H","R Madley",16,6,8,7,1,0,87,53,69,15
"19","E0","22/04/18","Arsenal",4,"H",0,"D","L Mason",20,8,11,8,3,0,88,45,68,4
"20","E0","14/01/18","Bournemouth",2,"H",0,"D","K Friend",13,5,8,4,2,0,62,46,40,24
"21","E0","15/09/17","Bournemouth",2,"H",0,"D","C Pawson",15,3,5,6,0,0,89,58,63,12
"22","E0","29/11/17","Bournemouth",1,"A",0,"A","R East",10,2,9,4,0,0,80,60,62,14
"23","E0","28/10/17","Bournemouth",0,"A",0,"D","C Pawson",7,1,5,5,2,0,81,44,42,7
"24","E0","7/4/2018","Bournemouth",2,"D",0,"D","J Moss",20,5,8,11,2,0,80,53,53,7
"25","E0","30/12/17","Bournemouth",2,"H",1,"H","L Probert",19,7,8,4,0,0,69,54,47,8
"26","E0","18/11/17","Bournemouth",4,"H",2,"H","L Probert",11,5,13,8,3,1,59,65,31,12
"27","E0","30/09/17","Bournemouth",0,"D",0,"D","G Scott",19,4,6,7,1,0,81,47,61,12
"28","E0","17/12/17","Bournemouth",0,"A",0,"A","A Marriner",6,2,5,2,1,0,80,53,44,9
"29","E0","26/08/17","Bournemouth",1,"A",1,"D","M Dean",9,3,13,2,5,0,58,36,30,20
"30","E0","18/04/18","Bournemouth",0,"A",0,"A","G Scott",13,2,9,8,3,0,81,44,44,10
